Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,in_corpus,first_hit,match,entity_type,crawlers,num_mentions,information
NAL,National Agricultural Library,https://www.nal.usda.gov/main/,"10301 Baltimore Ave. 
Beltsville, MD 20705",  ,1-301-504-5755,  ,  ,Executive Department Sub-Office/Agency/Bureau,"
United States Department of Agriculture",  ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_the_United_States_Department_of_Agriculture.svg/1000px-Seal_of_the_United_States_Department_of_Agriculture.svg.png,True,Title 16.json,the National Agricultural Library,org,,,
ANA,Administration for Native Americans,https://www.acf.hhs.gov/ana,"2nd Floor, West Aerospace Center 
370 L''Enfant Promenade, SW 
Washington, DC 20447-0002",anacomments@acf.hhs.gov,  ,  ,1-877-922-9262,Executive Department Sub-Office/Agency/Bureau,Administration for Children and Families,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 42 - ch8to39_Secs1401to3259.json,Administration for Native Americans,org,,,
OSCE,Office of Child Support Enforcement,https://www.acf.hhs.gov/css,"Administration for Children and Families (ACF) 
370 L''Enfant Promenade, SW 
Washington, DC 20447",  ,1-202-401-9373,  ,  ,Executive Department Sub-Office/Agency/Bureau,Administration for Children and Families,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 42 - ch7to7A_Secs301to1400v.json,the Office of Child Support Enforcement,org,,,
ORR,Office of Refugee Resettlement,https://www.acf.hhs.gov/programs/orr/,"Mary E. Switzer Building 
330 C St., SW 
Washington, DC 20201",  ,1-202-401-9246,  ,  ,Executive Department Sub-Office/Agency/Bureau,Administration for Children and Families,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 10.json,the Office of Refugee Resettlement,org,,,
USBG,United States Botanic Garden,https://www.usbg.gov/,"245 First St., SW 
Washington, DC 20024",  ,1-202-225-8333,  ,  ,Legislative,Architect of the Capitol,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,Title 42 - ch124to161_Secs11901to18647.json,the United States Botanic Garden,org,,,
USCapitol Visitor Center,United States Capitol Visitor Center,http://www.visitthecapitol.gov/,"United States Capitol 
Capitol Visitor Center 
Washington, DC 20510",  ,1-202-226-8000,  ,  ,Legislative,Architect of the Capitol,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
NPIC,National Passport Information Center,https://travel.state.gov/content/travel/en/contact-us/passports.html,  ,npic@state.gov,  ,1-888-874-7793,1-877-487-2778,Executive Department Sub-Office/Agency/Bureau,Bureau of Consular Affairs,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
NIC,National Institute of Corrections,https://nicic.gov/,"320 First St., NW 
Washington, DC 20543",  ,1-202-307-3106,  ,1-800-995-6423,Executive Department Sub-Office/Agency/Bureau,Bureau of Prisons,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,SECNAVINST 1640.9C.json,National Institute of Corrections,org,,,
ATSDR,Agency for Toxic Substances and Disease Registry,https://www.atsdr.cdc.gov/,"4770 Buford Highway, NE 
Atlanta, GA 30341","
cdcinfo@cdc.gov",  ,1-888-232-6348,1-800-232-4636,Executive Department Sub-Office/Agency/Bureau,Centers for Disease Control and Prevention,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/US_CDC_logo.svg/1000px-US_CDC_logo.svg.png,True,AFI 32-7020.json,Agency for Toxic Substances and Disease Registry,org,,,
NIOSH,National Institute of Occupational Safety and Health,https://www.cdc.gov/niosh/,"395 E St., SW 
Suite 9200 
Washington, DC 20201",  ,  ,1-888-232-6348,1-800-232-4636,Executive Department Sub-Office/Agency/Bureau,Centers for Disease Control and Prevention,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/US_CDC_logo.svg/1000px-US_CDC_logo.svg.png,True,TB MED 576.json,National Institute for Occupational Safety and Health,org,,,
