1MC,general announcing system
1NCD,1st Naval Construction Division
2-D,two-dimensional
2E,Role 2 enhanced
2LM,Role 2 light maneuver
2X,counterintelligence and human intelligence staff element
3-D,three-dimensional
A-2,intelligence staff officer (USAF)
A-3,operations directorate (COMAFFOR staff), operations staff officer (USAF)
A-5,plans directorate (COMAFFOR staff)
A-6,communications staff officer (USAF)
A/C,aircraft
A/DACG,arrival/departure airfield control group
A1,"director of manpower, personnel, and services (USAF)"
A2,antiaccess
A4,"director of logistics, engineering, and force protection (USAF)"
AA,avenue of approach
AA&E,"arms, ammunition, and explosives"
AAA,antiaircraft artillery
AAC,activity address code
AACG,arrival airfield control group
AADC,area air defense commander
AADP,area air defense plan
AAFES,Army and Air Force Exchange Service
AAFS,amphibious assault fuel system
AAG,aeronautical assignment group
AAGS,Army air-ground system
AAM,air-to-air missile
AAMDC,Army air and missile defense command
AAR, after action review,after action report, air-to-air refueling area
AATCC,amphibious air traffic control center
AAV,amphibious assault vehicle
AB,air base
ABCANZ,"American, British, Canadian, Australian, and New Zealand"
ABCT,armored brigade combat team
ABFC,advanced base functional component
ABFDS,aerial bulk fuel delivery system
ABI,activity-based intelligence
ABLTS,amphibious bulk liquid transfer system
ABP,air battle plan
AC,Active Component
ACA,airspace control authority, airspace coordination area
ACAMS,Army Container Asset Management System
ACC,air component commander, area coordination center
ACCE,air component coordination element
ACD,automated cargo documentation
ACE,aviation combat element (USMC)
ACEOI,automated communications-electronics operating instructions
ACL,allowable cabin load
ACM,airspace coordinating measure
ACO,administrative contracting officer, airspace control order
ACOS,assistant chief of staff
ACP,airspace control plan, Allied communications publication
ACS,airspace control system
ACSA,acquisition and cross-servicing agreement
ACT,advance civilian team
ACU,assault craft unit
AD,air defense, area denial
ADA,air defense artillery, Antideficiency Act
ADAFCO,air defense artillery fire control officer
ADAM,air defense airspace management
ADAM/BAE,air defense airspace management/brigade aviation element
ADC,area damage control
ADCON,administrative control
ADCS,air defense coordination section
ADM,air defense measure
ADOS,active duty for operational support
ADP, automated data processing,Army doctrine publication
ADR,airfield damage repair
ADRP,Army doctrine reference publication
ADS, authoritative data source,air defense sector
ADUSD(TP),"Assistant Deputy Under Secretary of Defense, Transportation Policy"
ADVON,advanced echelon
ADWC,air defense warning condition
ADZ,amphibious defense zone
AE,aeromedical evacuation, assault echelon
AECA,Arms Export Control Act
AECT,aeromedical evacuation control team
AEF,air expeditionary force
AELT,aeromedical evacuation liaison team
AEODP,allied explosive ordnance disposal publication
AEODPS,Automated Explosive Ordnance Disposal Publication System
AEOT,aeromedical evacuation operations team
AESC,aeromedical evacuation support cell
AETF,air expeditionary task force
AF,Air Force, Air Force (form), amphibious force
AF/A2,"Deputy Chief of Staff of the Air Force for Intelligence,Surveillance, and Reconnaissance"
AFATDS,Advanced Field Artillery Tactical Data System
AFB,Air Force base
AFCAP,Air Force Contract Augmentation Program
AFCEC,Air Force Civil Engineer Center
AFDA,Air Force doctrine annex
AFDD,Air Force doctrine document
AFE,Armed Forces Entertainment
AFFOR,Air Force forces
AFH,Air Force handbook
AFHSB,Armed Forces Health Surveillance Branch (DHA)
AFI,Air Force instruction
AFIC,Five Eyes Air Force Interoperability Council
AFJI,Air Force joint instruction
AFLE,Air Force liaison element
AFMAN,Air Force manual
AFME,Armed Forces Medical Examiner
AFMES,Armed Forces Medical Examiner System
AFMS,Air Force Medical Service
AFNORTH,Air Force North
AFNWC,Air Force Nuclear Weapons Center
AFO,advance force operations
AFOE,assault follow-on echelon
AFOSI,Air Force Office of Special Investigations
AFOSIMAN,Air Force Office of Special Investigations manual
AFPD,Air Force policy directive
AFRC,Air Force Reserve Command
AFRCC,Air Force Rescue Coordination Center
AFRRI,Armed Forces Radiobiology Research Institute
AFRTS,American Forces Radio and Television Service
AFSB,afloat forward staging base, Army field support brigade
AFSMO,Air Force Spectrum Management Office
AFSOAC,Air Force special operations air component
AFSOAD,Air Force special operations air detachment
AFSOAE,Air Force special operations air element
AFSOC,Air Force Special Operations Command
AFSOF,Air Force special operations forces
AFSPC,Air Force Space Command
AFTRANS,Air Forces Transportation
AFTTP,"Air Force tactics, techniques, and procedures"
AFTTP(I),"Air Force tactics, techniques, and procedures (instruction)"
AGILE,Advanced Global Intelligence Learning Environment
AGL,above ground level
AGO,Australian Geospatial-Intelligence Organisation
AGS,authorized government support, aviation ground support
AGT,Automated Global Force Management Tool
AH,attack helicopter
AHA,alert holding area
AHD,antihandling device
AI,acquisition instruction, air interdiction
AIDPMO,Army Intermodal and Distribution Platform Management Office
AIP,aeronautical information publication
AIRCOR,air corridor
AIRSUPREQ,air support request
AIS,automated information system
AIT,automatic identification technology
AJA,annual joint assessment
AJBPO,area joint blood program office
AJD,allied joint doctrine
AJODWG,allied joint operations doctrine working group
AJP,Allied joint publication
AKRCC,Alaska Rescue Coordination Center
ALARA,as low as reasonably achievable
ALCF,airlift control flight
ALCOM,United States Alaskan Command
ALCT,airlift control team
ALD,available-to-load date
ALEP,amphibious lift enhancement program
ALERTORD,alert order
ALLOREQ,allocation request
ALO,air liaison officer
ALOC,air line of communications
ALSA,Air Land Sea Application (Center)
ALT,"acquisition, logistics, and technology"
ALTRV,altitude reservation
AM,amplitude modulation
AMC, Air Mobility Command,airborne mission coordinator
AMC/SGXM,Air Mobility Command/Command Surgeon’s Office
AMCC,allied movement coordination center
AMCM,airborne mine countermeasures
AMCT,air mobility control team
AMD,air and missile defense, air mobility division
AMDC,air and missile defense commander
AMETL,agency mission-essential task list
AMLO,air mobility liaison officer
AMOC,Air and Marine Operations Center (DHS)
AMOG,air mobility operations group
AMOS,air mobility operations squadron
AMOW,air mobility operations wing
AMP,analysis of mobility platform
AMP-PAT,analysis of mobility platform suite of port analysis tools
AMS,air mobility squadron
AMS-TAC,Automated Manifesting System-Tactical
AMT,aerial mail terminal
AMX,air mobility express
AMedP,Allied medical publication
AN/VRC,Army Navy vehicle radio communications
ANG,Air National Guard
ANGLICO,air-naval gunfire liaison company
ANR,Alaskan North American Aerospace Defense Command Region
ANSI,American National Standards Institute
ANW2,Adaptive Networking Wideband Waveform
AO,action officer, air officer, area of operations
AOA,amphibious objective area
AOC,air operations center
AOD,air operations directive
AODB,air operations database
AOF,azimuth of fire
AOG,Army Operations Group
AOI,area of interest
AOR,area of responsibility
AOS,aircraft on station
AOTR,aviation operational threat response
AP,antipersonnel
APAN,All Partners Access Network
APE,airfield pavement evaluation
APEX,Adaptive Planning and Execution
APF,afloat pre-positioning force
APHIS,Animal and Plant Health Inspection Service (USDA)
APL,antipersonnel land mine
APO,Army post office
APOD,aerial port of debarkation
APOE,aerial port of embarkation
APS,Army pre-positioned stocks
APS-3,Army pre-positioned stocks-3
APTD,aircraft attack position target designation
AR, Army regulation,air refueling
ARC, American Red Cross,air Reserve Components
ARCENT,United States Army Central Command
ARCT,air refueling control team
ARDEC,"United States Army Armament Research, Development, and Engineering Center"
ARFOR,Army forces
ARG,amphibious ready group
ARM,air reference measure
ARNG,Army National Guard
ARS,acute radiation syndrome
ARSOF,Army special operations forces
ARSST,Army space support team
ASAT,antisatellite
ASBP,Armed Services Blood Program
ASBPO,Armed Services Blood Program Office
ASC,Army Sustainment Command
ASCC,Army Service component command, Army Service component commander
ASCOPE,"areas, structures, capabilities, organizations, people, and events"
ASCS,air support control section
ASD(GSA),Assistant Secretary of Defense for Global Strategic Affairs
ASD(HA),Assistant Secretary of Defense (Health Affairs)
