Agency for International Development,USAID,GCORG
Air Combat Command,ACC,GCORG
Air Education and Training Command,AETC,GCORG
Air Force Global Strike Command,AFGSC,GCORG
Air Force Materiel Command,AFMC,GCORG
Air Force Office of Special Investigations,AFOSI,GCORG
Air Force Research Laboratory,AFRL,GCORG
Air Force Reserve Command,AFRC,GCORG
Air Force Reserve Officer Training Corps,AFROTC,GCORG
Air Force Space Command,AFSPC,GCORG
Air Force Special Operations Command,AFSOC,GCORG
Air Mobility Command,AMC,GCORG
Air National Guard,ANG,GCORG
Armed Forces Retirement Home,AFRH,GCORG
Armed Services Board of Contract Appeals,ASBCA,GCORG
Army Corps of Engineers,USACE,GCORG
Army Digitization Office,ADO,GCORG
Army Medical Department,AMEDD,GCORG
Army National Guard,ARNG,GCORG
Army Research Laboratory,ARL,GCORG
Army Review Boards Agency,ARBA,GCORG
Army and Air Force Exchange Service,AAFES,GCORG
Assistant Commandant of the Marine Corps,ACMC,GCPER
"Assistant Deputy Under Secretary of Defense, Transportation Policy",ADUSD(TP),GCPER
Assistant Secretary of Defense for Force Management and Personnel,ASD(FM&P),GCPER
Assistant Secretary of Defense for Global Strategic Affairs,ASD(GSA),GCPER
Assistant Secretary of Defense for Health Affairs,ASD(HA),GCPER
Assistant Secretary of Defense for Homeland Defense and Americas' Security Affairs,ASD(HD&ASA),GCPER
Assistant Secretary of Defense for Homeland Defense and Global Security,ASD(HD&GS),GCPER
Assistant Secretary of Defense for Indo-Pacific Security Affairs,ASD(IPSA),GCPER
Assistant Secretary of Defense for International Security Affairs,ASD(ISA),GCPER
Assistant Secretary of Defense for Legislative Affairs,ASD(LA),GCPER
Assistant Secretary of Defense for Logistics and Materiel Readiness,ASD(L&MR),GCPER
"Assistant Secretary of Defense for Nuclear, Chemical & Biological Defense Programs",ASD(NCB),GCPER
"Assistant Secretary of Defense for Nuclear, Chemical and Biological Defense Programs",ASD(NCB),GCPER
Assistant Secretary of Defense for Operational Energy Plans and Programs,ASD(OEPP),GCPER
Assistant Secretary of Defense for Reserve Affairs,ASD(RA),GCPER
Assistant Secretary of Defense for Special Operations and Low-Intensity Conflict and Interdependent Capabilities,ASD(SO/LIC&IC),GCPER
Assistant Secretary of Defense for Special Operations/Low Intensity Conflict & Interdependent Capabilities,ASD(SO/LIC&IC),GCPER
Assistant Secretary of Defense for Special Operations/Low-Intensity Conflict,ASD(SO/LIC),GCPER
Assistant Secretary of Defense for Sustainment,ASD(S),GCPER
"Assistant Secretary of Defense, Health Affairs",ASD(HA),GCPER
"Assistant Secretary of Defense, Homeland Defense and Americas' Security Affairs",ASD(HD&ASA),GCPER
"Assistant Secretary of Defense, Networks and Information Integration",ASD(NII),GCPER
"Assistant Secretary of Defense, Reserve Affairs",ASD(RA),GCPER
Assistant to the Chairman of the Joint Chiefs of Staff,"",GCPER
Assistant to the Chairman,"",GCPER
Assistant to the Secretary of Defense for Intelligence Oversight,ASD(IO),GCPER
Assistant to the Secretary of Defense for Public Affairs,ASD(PA),GCPER
Central Intelligence Agency,CIA,GCORG
Central Security Service,CSS,GCORG
"Chairman, Joint Chiefs of Staff",CJCS,GCPER
Chairman of the Joint Chiefs of Staff,CJCS,GCPER
Chief Financial Officers Council,CFO,GCORG
Chief Human Capital Officers Council,CHCOC,GCORG
Chief Information Officer,DoD CIO,GCPER
Chief Information Officers Council,CIO,GCORG
Close Combat Lethality Task Force,CCLTF,GCORG
Cold Regions Research and Engineering Laboratory,CECRL,GCORG
Combatant Commanders,CCMD,GCPER
Combatant Commands,CCMD,GCORG
Commandant of the Coast Guard,CG-00,GCPER
Commandant of the Marine Corps,CMC,GCPER
"Commander, Air Force North",CDRAFNORTH,GCPER
"Commander, Detainee Operations",CDO,GCPER
"Commander, North American Aerospace Defense Command",CDRNORAD,GCPER
"Commander, United States Africa Command",CDRUSAFRICOM,GCPER
"Commander, United States Army, North",CDRUSARNORTH,GCPER
"Commander, United States Central Command",CDRUSCENTCOM,GCPER
"Commander, United States Cyber Command",CDRUSCYBERCOM,GCPER
"Commander, United States Element, North American Aerospace Defense Command",CDRUSELEMNORAD,GCPER
"Commander, United States European Command",CDRUSEUCOM,GCPER
"Commander, United States Indo-Pacific Command",CDRUSINDOPACOM,GCPER
"Commander, United States Northern Command",CDRUSNORTHCOM,GCPER
"Commander, United States Southern Command",CDRUSSOUTHCOM,GCPER
"Commander, United States Space Command",CDRUSSPACECOM,GCPER
"Commander, United States Special Operations Command",CDRUSSOCOM,GCPER
"Commander, United States Strategic Command",CDRUSSTRATCOM,GCPER
"Commander, United States Transportation Command",CDRUSTRANSCOM,GCPER
"Commander, Joint Special Operations Task Force",CDRJSOTF,GCPER
Component Heads,"",GCPER
Computer Emergency Readiness Team,CERT,GCORG
Construction Engineering Research Laboratory,CECER,GCORG
Customs and Border Protection,CBP,GCORG
Cybersecurity and Infrastructure Security Agency,CISA,GCORG
Defense Acquisition University,DAU,GCORG
Defense Advanced Research Projects Agency,DARPA,GCORG
Defense Commissary Agency,DECA,GCORG
Defense Contract Audit Agency,DCAA,GCORG
Defense Contract Management Agency,DCMA,GCORG
Defense Counterintelligence and Security Agency,DCSA,GCORG
Defense Criminal Investigative Service,DCIS,GCORG
Defense Finance and Accounting Service,DFAS,GCORG
Defense HUMINT Manager,DHM,GCPER
Defense Health Agency,DHA,GCORG
Defense Human Resources Activity,DHRA,GCORG
Defense Information Systems Agency,DISA,GCORG
Defense Intelligence Agency,DIA,GCORG
Defense Legal Services Agency,DLSA,GCORG
Defense Logistics Agency,DLA,GCORG
Defense Media Activity,DMA,GCORG
Defense Nuclear Facilities Safety Board,DNFSB,GCORG
