Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,entity_type,crawlers,num_mentions,information,information_source,information_retrieved
NAL,National Agricultural Library,https://www.nal.usda.gov/main/,"10301 Baltimore Ave. 
Beltsville, MD 20705",  ,1-301-504-5755,  ,  ,Executive Department Sub-Office/Agency/Bureau,"
United States Department of Agriculture",  ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_the_United_States_Department_of_Agriculture.svg/1000px-Seal_of_the_United_States_Department_of_Agriculture.svg.png,org,,,"The United States National Agricultural Library (NAL) is one of the world's largest agricultural research libraries, and serves as a national library of the United States and as the library of the United States Department of Agriculture. Located in Beltsville, Maryland, it is one of five national libraries of the United States (along with the Library of Congress, the National Library of Medicine, the National Transportation Library, and the National Library of Education). It is also the coordinator for the Agriculture Network Information Center (AgNIC), a national network of state land-grant institutions and coordinator for the U.S. Department of Agriculture (USDA) field libraries.NAL was established on May 15, 1862, by the signing of the Organic Act by Abraham Lincoln. It served as a departmental library until 1962, when the Secretary of Agriculture officially designated it as the National Agricultural Library. The first librarian, appointed in 1867, was Aaron B. Grosh, one of the founders of the National Grange of the Order of Patrons of Husbandry.",Wikipedia,2021-12-23
ANA,Administration for Native Americans,https://www.acf.hhs.gov/ana,"2nd Floor, West Aerospace Center 
370 L''Enfant Promenade, SW 
Washington, DC 20447-0002",anacomments@acf.hhs.gov,  ,  ,1-877-922-9262,Executive Department Sub-Office/Agency/Bureau,Administration for Children and Families,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,The Administration for Native Americans (ANA) is a program office within the United States Department of Health and Human Services established in 1974 through the Native American Programs Act (NAPA).,Wikipedia,2021-12-23
OSCE,Office of Child Support Enforcement,https://www.acf.hhs.gov/css,"Administration for Children and Families (ACF) 
370 L''Enfant Promenade, SW 
Washington, DC 20447",  ,1-202-401-9373,  ,  ,Executive Department Sub-Office/Agency/Bureau,Administration for Children and Families,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Office of Child Support Enforcement (OCSE) is a United States government office responsible for overseeing the U.S. child support program. Child support is the obligation on parents to provide financial support for their children. OCSE was established with the Federal Government’s enactment of Child Support Enforcement and Paternity Establishment Program (CSE) in 1975, which was enacted to reduce welfare expenses by collecting child support from non-custodial parents.The mission of OCSE is to increase the reliability of child support paid by parents when they live apart from their children. The program accomplishes this by locating parents, establishing legal fatherhood (paternity), establishing and enforcing fair support orders, increasing health care coverage for children, removing barriers to payment, such as referring parents to employment services, supporting healthy co-parenting relationships, supporting responsible fatherhood, and helping to prevent and reduce family violence.",Wikipedia,2021-12-23
ORR,Office of Refugee Resettlement,https://www.acf.hhs.gov/programs/orr/,"Mary E. Switzer Building 
330 C St., SW 
Washington, DC 20201",  ,1-202-401-9246,  ,  ,Executive Department Sub-Office/Agency/Bureau,Administration for Children and Families,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The Office of Refugee Resettlement (ORR) is a program of the Administration for Children and Families, an office within the United States Department of Health and Human Services, created with the passing of the United States Refugee Act of 1980 (Public Law 96-212). The Office of Refugee Resettlement offers support for refugees seeking safe haven within the United States, including victims of human trafficking, those seeking asylum from persecution, survivors of torture and war, and unaccompanied alien children. The mission and purpose of the Office of Refugee Resettlement is to assist in the relocation process and provide needed services to individuals granted asylum within the United States.Since 1975, the United States has assisted in the resettlement of more than 3 million refugees. Annual admissions of refugees to the United States since the 1980 Refugee Act was enacted have ranged from 27,100 to as many as 207,116.In Fiscal Year 2019, Refugee and Resettlement Assistance comprised a discretionary budget of $1.905 billion. The largest share of that, $1.303 billion, was designated for the Unaccompanied Alien Children program housing child migrants. Other major programs include Transitional and Medical Services, $354 million; Refugee Support Services, $207 million; and the Trafficking Victims Support Program, $27 million.The Office of Refugee Resettlement is currently headed by Director Cindy Huang, who served as Refugees International's Vice President for Strategic Outreach.",Wikipedia,2021-12-23
USBG,United States Botanic Garden,https://www.usbg.gov/,"245 First St., SW 
Washington, DC 20024",  ,1-202-225-8333,  ,  ,Legislative,Architect of the Capitol,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The United States Botanic Garden (USBG) is a botanical garden on the grounds of the United States Capitol in Washington, D.C., near Garfield Circle.The Botanic Garden is supervised by the Congress through the Architect of the Capitol, who is responsible for maintaining the grounds of the United States Capitol. The USBG is open every day of the year, including federal holidays. It is the oldest continually-operating botanic garden in the United States.",Wikipedia,2021-12-23
USCapitol Visitor Center,United States Capitol Visitor Center,http://www.visitthecapitol.gov/,"United States Capitol 
Capitol Visitor Center 
Washington, DC 20510",  ,1-202-226-8000,  ,  ,Legislative,Architect of the Capitol,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The United States Capitol Visitor Center (CVC) is a large underground addition to the United States Capitol complex which serves as a gathering point for up to 4,000 tourists and an expansion space for the US Congress. It is located below the East Front of the Capitol and its plaza, between the Capitol building and 1st Street East. The complex contains 580,000 square feet (54,000 m2) of space below ground on three floors.  The overall project's budget was $621 million.The CVC has space for use by the Congress, including multiple new meeting and conference rooms. On the House side, there is a large room which will most likely be used by a committee. The new Congressional Auditorium, a 450-seat theater, is available for use by members of Congress or for either House of Congress should their respective chamber be unavailable.The CVC officially opened on December 2, 2008.  This date was selected to coincide with the 145th anniversary of placing Thomas Crawford's Statue of Freedom  atop the Capitol building in 1863, signifying the completion of construction of its dome.",Wikipedia,2021-12-23
NPIC,National Passport Information Center,https://travel.state.gov/content/travel/en/contact-us/passports.html,  ,npic@state.gov,  ,1-888-874-7793,1-877-487-2778,Executive Department Sub-Office/Agency/Bureau,Bureau of Consular Affairs,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"United States passports are passports issued to citizens and nationals of the United States of America. They are issued exclusively by the United States Department of State. Besides passports (in booklet form), limited use passport cards are issued by the same government agency subject to the same requirements. It is unlawful for U.S. citizens and nationals to enter or exit the United States without a valid U.S. passport or Western Hemisphere Travel Initiative-compliant passport-replacement document, though there are many exceptions, waivers are generally granted for U.S. citizens returning without a passport, and the exit requirement is not enforced.U.S. passport booklets conform with recommended standards (i.e., size, composition, layout, technology) of the International Civil Aviation Organization (ICAO). There are five types of passport booklets; as well, the Department of State has issued only biometric passports as standard since August 2007. United States passports are property of the United States and must be returned to the U.S. government upon demand.By law, a valid unexpired U.S. passport (or passport card) is conclusive (and not just prima facie) proof of U.S. citizenship, and has the same force and effect as proof of United States citizenship as certificates of naturalization or of citizenship, if issued to a U.S. citizen for the full period allowed by law. U.S. law does not prohibit U.S. citizens from holding passports of other countries, though they are required to use their U.S. passport to enter and leave the United States.",Wikipedia,2021-12-23
NIC,National Institute of Corrections,https://nicic.gov/,"320 First St., NW 
Washington, DC 20543",  ,1-202-307-3106,  ,1-800-995-6423,Executive Department Sub-Office/Agency/Bureau,Bureau of Prisons,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"The National Institute of Corrections (NIC) is an  agency of the United States government. It is part of the United States Department of Justice, Federal Bureau of Prisons.NIC provides support programs to assist federal, state, and local corrections agencies. Additionally the NIC provides funds to support programs that are in line with its key initiatives.The NIC was created by the United States Congress in 1974 on the recommendation of the National Conference on Corrections convened by John N. Mitchell in 1971. Mitchell called for the conference as a result of public pressure following the riot at New York's Attica Correctional Facility in 1971.",Wikipedia,2021-12-23
ATSDR,Agency for Toxic Substances and Disease Registry,https://www.atsdr.cdc.gov/,"4770 Buford Highway, NE 
Atlanta, GA 30341","
cdcinfo@cdc.gov",  ,1-888-232-6348,1-800-232-4636,Executive Department Sub-Office/Agency/Bureau,Centers for Disease Control and Prevention,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/US_CDC_logo.svg/1000px-US_CDC_logo.svg.png,org,,,"The Agency for Toxic Substances and Disease Registry (ATSDR) is a federal public health agency within the United States Department of Health and Human Services. The agency focuses on minimizing human health risks associated with exposure to hazardous substances. It works closely with other federal, state, and local agencies; tribal governments; local communities; and healthcare providers. Its mission is to ""Serve the public through responsive public health actions to promote healthy and safe environments and prevent harmful exposures."" ATSDR was created as an advisory, nonregulatory agency by the Superfund legislation and was formally organized in 1985.Although ATSDR is an independent operating agency within the Department of Health and Human Services, the Centers for Disease Control and Prevention (CDC) performs many of its administrative functions. The CDC director also serves as the ATSDR administrator, and ATSDR has a joint Office of the Director with the National Center for Environmental Health (NCEH). The ATSDR headquarters are located in Atlanta, Georgia, at the CDC Chamblee campus. In fiscal year 2010, ATSDR had an operating budget of $76.8 million and had roughly 300 full-time employees (not including contractors).ATSDR is formally and administratively overseen by the director of the Centers for Disease Control and Prevention (CDC), currently Dr. Rochelle Walensky, in their capacity as ATSDR Administrator. Direction is provided by ATSDR's director, currently Dr. Patrick Breysse, who ranks below the Administrator, and ATSDR's associate director, currently Dr. Christopher Reh.",Wikipedia,2021-12-23
NIOSH,National Institute of Occupational Safety and Health,https://www.cdc.gov/niosh/,"395 E St., SW 
Suite 9200 
Washington, DC 20201",  ,  ,1-888-232-6348,1-800-232-4636,Executive Department Sub-Office/Agency/Bureau,Centers for Disease Control and Prevention,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/US_CDC_logo.svg/1000px-US_CDC_logo.svg.png,org,,,"The National Institute for Occupational Safety and Health (NIOSH, ) is the United States federal agency responsible for conducting research and making recommendations for the prevention of work-related injury and illness. NIOSH is part of the Centers for Disease Control and Prevention (CDC) within the U.S. Department of Health and Human Services. Despite its name, it is not part of the National Institutes of Health. Its current director is John Howard.NIOSH is headquartered in Washington, D.C., with research laboratories and offices in Cincinnati, Ohio; Morgantown, West Virginia; Pittsburgh, Pennsylvania; Denver, Colorado; Anchorage, Alaska; Spokane, Washington; and Atlanta, Georgia. NIOSH is a professionally diverse organization with a staff of 1,200 people representing a wide range of disciplines including epidemiology, medicine, industrial hygiene, safety, psychology, engineering, chemistry, and statistics.The Occupational Safety and Health Act, signed by President Richard M. Nixon on December 29, 1970, created both NIOSH and the Occupational Safety and Health Administration (OSHA). NIOSH was established to help ensure safe and healthful working conditions by providing research, information, education, and training in the field of occupational safety and health. NIOSH provides national and world leadership to prevent work-related illness, injury, disability, and death by gathering information, conducting scientific research, and translating the knowledge gained into products and services. Although NIOSH and OSHA were established by the same Act of Congress, the two agencies have distinct and separate responsibilities.",Wikipedia,2021-12-23
