name,crawlers,num_mentions,information,type
Bill (law),[legislation_pubs],30929.0,"A bill is proposed legislation under consideration by a legislature. A bill does not become law until it is passed by the legislature and, in most cases, approved by the executive. Once a bill has been enacted into law, it is called an act of the legislature, or a statute. Bills are introduced in the legislature and are discussed, debated and voted upon.

",topic
Veterans Affairs,"[dod_issuances,legislation_pubs,Bupers_Crawler,air_force_pubs,army_pubs,ex_orders]",773.0,"The United States Department of Veterans Affairs (VA) is a Cabinet-level executive branch department of the federal government charged with integrating life-long healthcare services to eligible military veterans at the 1700 VA medical centers and outpatient clinics located throughout the country. Non-healthcare benefits include disability compensation, vocational rehabilitation, education assistance, home loans, and life insurance; and provides burial and memorial benefits to eligible veterans and family members at 135 national cemeteries.
While veterans' benefits were provided by the Federal Government since the American Revolutionary War, a veteran-specific federal agency was not established until 1930, as the Veterans Administration. In 1982, its mission was extended to a fourth mission to provide care to non-veterans and civilians in case of national emergencies, such as the COVID-19 pandemic of 2020. In 1989 the Veterans Administration became a cabinet-level Department of Veterans Affairs. 
As of June 2020, the VA employs 412,892 people at hundreds of Veterans Affairs medical facilities, clinics, benefits offices, and cemeteries. In Fiscal Year 2016 net program costs for the department were $273 billion, which includes the VBA Actuarial Cost of $106.5 billion for compensation benefits. The long-term ""actuarial accrued liability"" (total estimated future payments for veterans and their family members) is $2.491 trillion for compensation benefits; $59.6 billion for education benefits; and $4.6 billion for burial benefits.The agency is led by the Secretary of Veterans Affairs, who, being a cabinet member, is appointed by the President with the advice and consent of the Senate.",topic
Covid-19,"[dha_pubs,legislation_pubs,navy_med_pubs,ex_orders]",648.0,"Coronavirus disease 2019 (COVID-19), also known as the coronavirus or COVID, is a contagious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first known case was identified in Wuhan, China, in December 2019. The disease has since spread worldwide, leading to an ongoing pandemic.Symptoms of COVID-19 are variable, but often include fever, cough, headache, fatigue, breathing difficulties, and loss of smell and taste. Symptoms may begin one to fourteen days after exposure to the virus. At least a third of people who are infected do not develop noticeable symptoms. Of those people who develop noticeable symptoms enough to be classed as patients, most (81%) develop mild to moderate symptoms (up to mild pneumonia), while 14% develop severe symptoms (dyspnea, hypoxia, or more than 50% lung involvement on imaging), and 5% suffer critical symptoms (respiratory failure, shock, or multiorgan dysfunction). Older people are at a higher risk of developing severe symptoms. Some people continue to experience a range of effects (long COVID) for months after recovery, and damage to organs has been observed. Multi-year studies are currently underway to further investigate the long-term effects of the disease.Transmission of COVID-19 occurs mainly when an infected person is in close contact with another person. Small droplets containing the virus can spread from an infected person's nose and mouth as they breathe, cough, sneeze, sing, or speak. Other people are infected if the virus gets into their mouth, nose or eyes. Airborne transmission is also sometimes possible, as smaller infected droplets and particles can linger in the air for minutes to hours within enclosed spaces that have inadequate ventilation. Less commonly, the virus may spread via contaminated surfaces. People who are infected can transmit the virus to another person up to two days before they themselves show symptoms, as can people who do not experience symptoms. People remain infectious for up to ten days after the onset of symptoms in moderate cases and up to twenty days in severe cases.Several testing methods have been developed to diagnose the disease. The standard diagnostic method is by detection of the virus' nucleic acid by real-time reverse transcription polymerase chain reaction (rRT-PCR), transcription-mediated amplification (TMA), or by reverse transcription loop-mediated isothermal amplification (RT-LAMP) from a nasopharyngeal swab.
Preventive measures include physical or social distancing, quarantining, ventilation of indoor spaces, covering coughs and sneezes, hand washing, and keeping unwashed hands away from the face. The use of face masks or coverings has been recommended in public settings to minimize the risk of transmissions. Several vaccines have been developed and many countries have initiated mass vaccination campaigns.
Although work is underway to develop drugs that inhibit the virus, the primary treatment is symptomatic. Management involves the treatment of symptoms, supportive care, isolation, and experimental measures.",topic
Congress Session,[legislation_pubs],643.0,"A joint session of the United States Congress is a gathering of members of the two chambers of the bicameral legislature of the federal government of the United States: the Senate and the House of Representatives. Joint sessions can be held on any special occasion, but are required to be held when the president delivers a State of the Union address, when they gather to count and certify the votes of the Electoral College as the presidential election, or when they convene on the occasion of a presidential inauguration. A joint meeting is a ceremonial or formal occasion and does not perform any legislative function, and no resolution is proposed nor vote taken.
Joint sessions and meetings are usually held in the Chamber of the House of Representatives, and are traditionally presided over by the speaker of the House. However, the Constitution requires the vice president (as president of the Senate) to preside over the counting of electoral votes.",topic
US Veterans,"[dod_issuances,legislation_pubs,army_pubs,ex_orders]",633.0,"The United States Department of Veterans Affairs (VA) is a Cabinet-level executive branch department of the federal government charged with integrating life-long healthcare services to eligible military veterans at the 1700 VA medical centers and outpatient clinics located throughout the country. Non-healthcare benefits include disability compensation, vocational rehabilitation, education assistance, home loans, and life insurance; and provides burial and memorial benefits to eligible veterans and family members at 135 national cemeteries.
While veterans' benefits were provided by the Federal Government since the American Revolutionary War, a veteran-specific federal agency was not established until 1930, as the Veterans Administration. In 1982, its mission was extended to a fourth mission to provide care to non-veterans and civilians in case of national emergencies, such as the COVID-19 pandemic of 2020. In 1989 the Veterans Administration became a cabinet-level Department of Veterans Affairs. 
As of June 2020, the VA employs 412,892 people at hundreds of Veterans Affairs medical facilities, clinics, benefits offices, and cemeteries. In Fiscal Year 2016 net program costs for the department were $273 billion, which includes the VBA Actuarial Cost of $106.5 billion for compensation benefits. The long-term ""actuarial accrued liability"" (total estimated future payments for veterans and their family members) is $2.491 trillion for compensation benefits; $59.6 billion for education benefits; and $4.6 billion for burial benefits.The agency is led by the Secretary of Veterans Affairs, who, being a cabinet member, is appointed by the President with the advice and consent of the Senate.",topic
independent agencies of the United States Government,"[legislation_pubs,milpersman_crawler,navy_med_pubs,army_pubs,ex_orders]",573.0,"Independent agencies of the United States federal government are agencies that exist outside the federal executive departments (those headed by a Cabinet secretary) and the Executive Office of the President. In a narrower sense, the term refers only to those independent agencies that, while considered part of the executive branch, have regulatory or rulemaking authority and are insulated from presidential control, usually because the president's power to dismiss the agency head or a member is limited.
Established through separate statutes passed by the Congress, each respective statutory grant of authority defines the goals the agency must work towards, as well as what substantive areas, if any, over which it may have the power of rulemaking. These agency rules (or regulations), when in force, have the power of federal law.

",topic
Navy Personnel Command,"[Bupers_Crawler,milpersman_crawler,secnav_pubs,navy_reserves]",568.0,"The Bureau of Naval Personnel (BUPERS) in the United States Department of the Navy is similar to the human resources department of a corporation. The bureau provides administrative leadership and policy planning for the Office of the Chief of Naval Operations (OPNAV) and the U.S. Navy at large. BUPERS is led by the Chief of Naval Personnel.
As of 2009, the office of the Bureau of Naval Personnel served as a parent command to the Navy Personnel Command (NPC). The duties of NPC are nearly identical to the former office of BUPERS and the command's logo even incorporates the name of the latter's office. BUPERS is also the overseeing authority for Navy Recruiting Command.  Most of the BUPERS offices are located in the cities Millington, Tennessee and Arlington, Virginia.",topic
Internal Revenue,"[legislation_pubs,ex_orders]",552.0,"The Internal Revenue Service (IRS) is the revenue service of the United States federal government responsible for collecting taxes and administering the Internal Revenue Code, the main body of federal statutory tax law. It is part of the Department of the Treasury and led by the Commissioner of Internal Revenue, who is appointed to a five-year term by the President of the United States. The duties of the IRS include providing tax assistance to taxpayers; pursuing and resolving instances of erroneous or fraudulent tax filings; and overseeing various benefits programs, including the Affordable Care Act.

The IRS originates from the Commissioner of Internal Revenue, a federal office created in 1862 to assess the nation's first income tax to fund the American Civil War. The temporary measure provided over a fifth of the Union's war expenses before being allowed to expire a decade later. In 1913, the Sixteenth Amendment to the U.S. Constitution was ratified authorizing Congress to impose a tax on income, and the Bureau of Internal Revenue was established. In 1953, the agency was renamed the Internal Revenue Service, and in subsequent decades underwent numerous reforms and reorganizations, most significantly in the 1990s.
Since its establishment, the IRS has been responsible for collecting most of the revenue needed to fund the federal government, albeit while facing periodic controversy and opposition over its methods, constitutionality, and the principle of taxation generally. In recent years the agency has struggled with budget cuts and reduced morale. As of 2018, it saw a 15 percent reduction in its workforce, including a decline of more than 25 percent of its enforcement staff. Nevertheless, during the 2017 fiscal year, the agency processed more than 245 million returns and collected more than $3.4 trillion in gross revenue, spending 34¢ for every $100 it collected.

",topic
Deparment of Health,"[dha_pubs,air_force_pubs,nato_stanag,dod_issuances,army_pubs,Chief_National_Guard_Bureau_Instructions,Coast_Guard,legislation_pubs,marine_pubs,secnav_pubs,navy_med_pubs,ex_orders]",479.0,"A health department or health ministry is a part of government which focuses on issues related to the general health of the citizenry. Subnational entities, such as states, counties and cities, often also operate a health department of their own. Health departments perform food inspections and other health related inspections (the person who performs this job is often called a public health inspector), vaccination programs, free STD and HIV tests, tobacco enforcement and cessation programs, and other medical assistance programs. Health departments also compile statistics about health issues within their area. The role of a health department may vary from one country to the other, but their primary objective is always the same; safeguarding and promoting health. In 1986, several of the world's national health departments met to establish an international guideline by which health departments operate. The meeting was in Ottawa, Ontario, Canada, and hence the guidelines established are known as the Ottawa Charter. The Ottawa Charter was designed to 'achieve Health for All'.
""Health department"" can also refer to a university health department.

",topic
House Representatives,"[us_code,legislation_pubs]",463.0,"The United States House of Representatives is the lower house of the United States Congress, with the Senate being the upper house. Together they compose the national bicameral legislature of the United States.
The House's composition is established by Article One of the United States Constitution. The House is composed of representatives who sit in congressional districts allocated to each state on a basis of population as measured by the U.S. Census, with each district having one representative, provided that each state is entitled to at least one. Since its inception in 1789, all representatives have been directly elected. The number of voting representatives is fixed by law at 435. If enacted, the DC Admission Act would permanently increase the number of Representatives to 436. In addition, there are currently six non-voting members, bringing the total membership of the US House of Representatives to 441 or fewer with vacancies. As of the 2010 Census, the largest delegation is that of California, with 53 representatives. Seven states have only one representative: Alaska, Delaware, Montana, North Dakota, South Dakota, Vermont, and Wyoming.The House is charged with the passage of federal legislation, known as bills, which, after concurrence by the Senate, are sent to the president for consideration. The House also has exclusive powers: it initiates all revenue bills, impeaches federal officers, and elects the president if no candidate receives a majority of votes in the Electoral College. The House meets in the south wing of the United States Capitol.
The presiding officer is the Speaker of the House, who is elected by the members thereof (and is the leader of the majority party). The Speaker and other floor leaders are chosen by the Democratic Caucus or the Republican Conference, depending on whichever party has more voting members.",topic
