doc,pop_score
Title 10.pdf,161
DoDFMR V1CH10.pdf,83
"DEP SEC DEF Memo, Public-Private Talent Exchange, 7 19 2018 OCR.pdf",62
DoDI 8500.01 CH 1.pdf,60
Designation of USD(I) as the Tactical Exploitation of National Capabilities Executive Agent.pdf,58
AFMAN 17-1203.pdf,57
Designation of Enterprise Services Supporting Federated Data Cataloguing.pdf,55
DoD Data Strategy.PDF,54
2001,53
"FMR 4, 1 1 2020 OCR.pdf",48
AFMAN 23-122.pdf,44
DoDD 1308.1.pdf,44
2019,43
AFH 23-123V2PT2.pdf,41
DAFMAN 65-605V1.pdf,41
NDAA 2017 Conference Report.pdf,41
AFI 36-2903.pdf,41
DFAR 2-24-2021.pdf,38
2013,38
AFH 1.pdf,38
DoDD 5105.21.pdf,37
DoDI 8510.01 CH 3.pdf,37
"FMR 11b, 1 1 2020 OCR.pdf",36
"FMR 3, 1 1 2020 OCR.pdf",36
DoDD S-5230.28.pdf,36
AACP 02.1.pdf,36
AFI 23-101.pdf,35
AFMAN 17-1303.pdf,35
ARMY DIR 2018-18.pdf,34
DoDM 5200.01 Volume 3 CH 3.pdf,34
"FMR 6a, 1 1 2020 OCR.pdf",34
DoDD 5205.12 CH 2.pdf,33
AFPAM 63-113.pdf,33
"JSI 2220.01, 1 16 2015 OCR.pdf",33
DoDD 5143.01 CH 2.pdf,32
DoD Dictionary.pdf,32
Joint Officer Handbook,32
DoDI 5200.48.pdf,31
AFMAN 17-1301.pdf,31
DoDI 5000.87.pdf,31
Top Telework Tools (Unclassified_Classified Tools).pdf,31
DoDI 3115.12 CH 2.pdf,30
2015,30
CJCSI 5123.01H,30
AFI 36-2110.pdf,30
AFH 23-123V1.pdf,30
H.R 406 IH 117th.pdf,29
AFMAN 36-2905.pdf,29
DAFI 32-9005.pdf,29
2017,28
DoDI 5000.02.pdf,28
AFI 36-2670.pdf,27
DAFPAM 63-128.pdf,27
DoDI 5205.11 CH 2.pdf,27
DoDI 5210.02 CH 2.pdf,27
2016,26
FHP (Supp 9),26
Report to Congress on the Elements of the Office of ASD Space Policy.pdf,26
Actions to Enhance and Accelerate Enterprise Data Management.pdf,25
FAR 2021-05.pdf,25
AFI 90-201.pdf,25
DoDI 8530.01 CH 1.pdf,25
DoDI 5200.39 CH 3.pdf,25
DoDI 5000.83 CH 1.pdf,24
AFI 21-101.pdf,24
CJCSM 3500.03E.pdf,24
Agency Strategic Plan (FY 2015-2018).pdf,24
AFMAN 65-604.pdf,24
Title 5.pdf,23
Mission Assurance Assessment Program Interim Implementation (FOUO).pdf,23
"FMR 2b, 1 1 2020 OCR.pdf",22
CFETP 3DXXX.pdf,22
DoDI 5000.85.pdf,22
AFI 65-118.pdf,22
AFI 10-2501.pdf,22
"DoD 6010.13-M, 4 7 2008, Ch 2, 4 15 2014 OCR.pdf",22
CFETP 2S0XX.pdf,22
DoDM 4140.01 Volume 4 CH 3.pdfnull,22
Authorized Telework Capabilites and Guideance.pdf,22
DoDI 5000.02T CH 10.pdf,22
"FMR 11a, 1 1 2020 OCR.pdf",22
"FMR 6b, 1 1 2020 OCR.pdf",22
DoDD 5100.20.pdf,21
Guidance on Secretary of Defense-Empowered Cross-Functional Teams.pdf,21
AFI 36-816.pdf,21
"FMR 1, 1 1 2020 OCR.pdf",21
AFI 36-808.pdf,21
DAFI 52-201.pdf,21
AFH 23-123V2PT1.pdf,21
AFMAN 16-1404V1.pdf,21
DoDI 1020.05.pdf,20
Title 50.pdf,20
AFMAN 63-144.pdf,19
"DEP SEC DEF Memo, 2 11 2019, Joint Artificial Intelligence Center Personnel Requirements for FY19, 2 11 2019 OCR.pdf",19
"FMR 12, 1 1 2020 OCR.pdf",19
DoDI 5000.64 CH 3.pdf,19
AFH 10-644.pdf,19
Defense Acquisition Services.pdf,19
"Classification of Materials Captured, Collected, or Handled by the Department of Defense.pdf",19
CFETP 51JX.pdf,19
"DEP SEC DEF Memo, Medical Standards for Appoiuntment, Enlistment, or Induction of Transgender Applicants into Military Service, 12 8 2017 OCR.pdf",18
DoDD 5137.02.pdf,18
DoDM 4160.21 Volume 1 CH 3.pdf,18
AFI 17-101.pdf,18
ICD 304.pdf,18
AFI 36-2502.pdf,18
DoDI 5000.89.pdf,18
Change Notification 1,18
DoDM 5105.21 Volume 2 CH 2.pdf,18
DoDFMR V8CH2.pdf,18
CJCSI 6510.01F.pdf,17
DoDD 5240.01 CH 3.pdf,17
DOD-DIGITAL-MODERNIZATION-STRATEGY-2019.pdf,17
2008,17
DoDM 4140.01 Volume 3.pdf,17
"FRM 10, 1 1 2020 OCR.pdf",17
DoDM 5200.01 Volume 1 CH 2.pdf,17
DoDI 2000.12 CH 3.pdf,17
CFETP 3F0X1.pdf,17
"FMR 2, 1 1 2020 OCR.pdf",17
DoDI 5000.90.pdf,17
"DEP SEC DEF Memo, Department of Defense Support for the National Security Commission on Artificial Intelligence, 2 12 2019 OCR.pdf",17
AFMAN 36-2806.pdf,16
AFMAN 41-120.pdf,16
CJCSI 6211.02D.pdf,16
DoDD 5200.27.pdf,16
AFH 33-337.pdf,16
DoDI 5000.75 CH 2.pdf,16
"DEP SEC DEF Memo, Enhancing DoD&#039;s Joint Tactical Networks and Datalink Modernization, 3 29 2019 OCR.pdf",16
_U__JCC2_Capability_Alignment_20200623__CUI__CLEAR.OCR.pdf,16
DoDI 5200.44 CH 3.pdf,16
DoD 5220.22-M.pdf,16
DoDI 5000.88.pdf,16
CJCSI 5123.01H.pdf,16
Federal Cloud Computing Strategy.pdf,16
AFI 63-101_20-101.pdf,16
CFETP 1102C1.pdf,16
AR 25-2.pdf,16
DoDD 5111.01.pdf,16
DoDD 5100.01 CH 1.pdf,16
ATP 3-37.11.pdf,15
OMBM M-21-06.pdf,15
DoDD 1400.5.pdf,15
DoDFMR V2BCH4.pdf,15
OPNAVINST 1000.16L With CH-2.pdf,15
AD1021566.pdf,15
AFMAN 36-2100.pdf,15
AFI 17-130.pdf,15
2018,15
PAM 710-2-1.pdf,15
"FMR 5, 1 1 2020 OCR.pdf",15
AFI 16-1301.pdf,15
NGAI 8010.11(2021-07-30_11-33-45_72867)_20210730155146.pdf,15
FY19 Oversight Plan dated 21FEB19.pdf,15
DoDD 5144.02 CH 1.pdf,15
DoDFMR V3CH8.pdf,15
DoDI 5000.74.pdf,14
2011,14
DoDM 4140.01 Volume 11 CH 3.pdf,14
Guidance for Procurement and Integration of Information and Communications Technology Components into Critical Info Systems.pdf,14
2006,14
AFI 36-2654.pdf,14
MCO P10110.43G.pdf,14
AR 71-32.pdf,14
AACP 02_PART5.pdf,14
AFI 33-322.pdf,14
AFI 17-201.pdf,14
AFI 64-117.pdf,14
AFMAN 10-2503.pdf,14
AFMAN 91-201.pdf,14
DoD Cybersecurity Campaign -- Cybersecurity Discipline Implementation Plan.pdf,14
NGAD 5201(2021-07-30_11-33-18_41116)_20210730155426.pdf,14
DoDFMR V4CH19.pdf,14
DoDD 5134.09.pdf,14
AFI 31-118.pdf,14
AFMAN 34-204.pdf,14
DoDI 8330.01 CH 2.pdf,14
DAFI 33-360.pdf,14
DoDI 3300.07 CH 2.pdf,14
OPNAVINST 5440.77C.pdf,14
DoDD 5135.02.pdf,13
CFETP 3F5X1.pdf,13
DoDD 7045.14 CH 1.pdf,13
"DoD 52401-R, 12 1982, Ch 2, 4 26 2017 OCR.pdf",13
OMBM M-11-27.pdf,13
"SEC DEF Memo, Interim Guidance on Security Cooperation Activities Under Title 10 USC Section 321, 6 14 2017 OCR.pdf",13
AFI 10-2402.pdf,13
AI 94 CH 2.pdf,13
CJCSI 8010.01C.pdf,13
PAM 700-127.pdf,13
AFI 13-103.pdf,13
DAFPD 17-2.pdf,13
DoDD 5200.43 CH 3.pdf,13
DoDFMR V2ACH1.pdf,13
DoDD 3000.06 CH 1.pdf,13
DoDI 2000.25 CH 1.pdf,13
AFI 10-3005.pdf,13
DoDD 5105.19.pdf,13
H.Res 245 IH 117th.pdf,13
AFI 36-815.pdf,13
"DEP SEC DEF Memo, DoD Cloud Strategy, 12 18 2018 OCR.pdf",13
DoDD 5148.13.pdf,13
DoD Component Responsibility for Preserving DoD Scientific and Technical Information Records.pdf,13
AFI 36-2606.pdf,12
AFI 14-404.pdf,12
DoDD 5124.02.pdf,12
AFMAN 34-135.pdf,12
DoD Information Resources Management Strategic Plan.pdf,12
DoDD 5101.10E CH 3.pdf,12
Title 15.pdf,12
AFMD 39.pdf,12
"FMR 0a, 1 1 2020 OCR .pdf",12
DoDD 3020.40 CH 1.pdf,12
AFMAN 16-1404V3.pdf,12
Algorithmic Warfare Cross Functional Team (DTM-18-002) (FOUO).pdf,12
White Paper on the Secretarial Designee Program (Jan 2013).pdf,12
AFI 36-3037.pdf,12
OPNAVINST 3120.32D W CH-1.pdf,12
AR 351-3.pdf,12
AFI 10-403.pdf,12
DoDI 4000.19.pdf,12
AFI 23-201.pdf,12
CFETP 1A8X2.pdf,12
AFMAN 11-2C-12.pdf,12
Compendium 2,12
DoDI 3325.08 CH 3.pdf,12
DoDD 5000.62.pdf,12
DoDD 8521.01E CH 2.pdf,12
CJCSI 3460.01D.pdf,12
AACP 02.pdf,12
DoDI 6055.17 CH 3.pdf,12
Implementation of the DoD System and Application Rationalization Process.pdf,12
Title 32.pdf,12
DoDM 4140.01 Volume 10 CH 3.pdf,12
Establishment of the Joint All-Domain Command and Control Cross-Functional Team.pdf,12
DoDI 3305.11 CH 2.pdf,12
DoDD 2010.09 CH 2.pdf,12
DoDD 3115.18 CH 1.pdf,11
BUPERSINST 12300.2A.pdf,11
TAB C,11
DoDI 8320.02 CH 1.pdf,11
AFH 23-123V2PT3.pdf,11
AFMAN 36-2032.pdf,11
AR 740-26.pdf,11
Reorganization of the Office of the Deputy Chief Management Officer (Action Memo).pdf,11
COMNAVRESFORCOMINST 5239.3A.pdf,11
"Acting Director, Joint Artificial Intelligence Center.pdf",11
"DEP SEC DEF Memo, UFOUO Enhancing Cybersecurity Risk Management for Control Systems Supporting DoD Defense Critical Infrastructure, 7 19 2018 OCR.pdf",11
DoDFMR V4CH24.pdf,11
DoDD 5105.53.pdf,11
CFETP 2T0X1.pdf,11
NGAI 4000.19(2021-07-30_11-33-13_85802)_20210730155541.pdf,11
2014,11
DoDD 5118.05 CH 1.pdf,11
DoDD 5105.79.pdf,11
National Cybersecurity Awareness Month (October 2017).pdf,11
SECNAVINST 5720.44C CH 2.pdf,11
NGAI 8940.1(2021-07-30_11-33-26_26873)_20210730155226.pdf,11
"FMR 8, 1 1 2020 OCR.pdf",11
DoDI 8420.01.pdf,11
2012,11
DoDD 5200.47E CH 3.pdf,11
SECNAVINST 12271.1 CH-1.pdf,11
CFETP 6F0X1.pdf,11
DAFMAN 63-119.pdf,11
DoDD 8140.01.pdf,11
Updated and Expanded Guidance for U_FOUO Classification of FMV in Support of the Algorithmic Warfare CFT (Project Maven).pdf,11
DoDI 3300.05 CH 2.pdf,11
Implmentation Guidance on Restructuring Defense Intelligence,11
Strategy for Homeland Defense and Defense Support of Civil Authorities.pdf,11
DoDD 5205.02E CH 2.pdf,11
DoDI 8520.03 CH 1.pdf,11
DoDD 8100.02.pdf,11
DoDI 6480.04 CH 2.pdf,11
DoDFMR V4CH14.pdf,11
AFI 32-1001.pdf,11
Recommendation for a Presidential Commission on Artificial Intelligence.pdf,11
AFMAN 16-703V3.pdf,11
"DEP SEC DEF Memo, UFOUO Classification of Full Motion Video Support in Project Maven, 7 13 2017 OCR.pdf",11
Office of Military Commissions (OMC) Installation Support Services and Personnel Requirements.pdf,11
"DoD 4715.05-G, 5 1 2007, Ch 1, 8 31 2018 OCR.pdf",11
DoDD 1400.35 CH 2.pdf,11
DoDM 5205.07 Volume 1 CH 2.pdf,10
SECNAVINST 5500.36A.pdf,10
Terms of Reference,10
DoDFMR V4CH27.pdf,10
DoDI 4165.14 CH 2.pdf,10
"FMR 7, 1 1 2020 OCR.pdf",10
AFI 65-202.pdf,10
AR 25-1.pdf,10
CJCSI 3100.01E.pdf,10
DHA-IP 19-005,10
S 1372 IS 117th.pdf,10
AFI 25-201.pdf,10
DCG VOL 55 PGS 537-608.pdf,10
Priority Open Recommendations Department of Defense.pdf,10
DoDD 5118.03 CH 1.pdf,10
DoDI 4140.01.pdf,10
MCO 4000.60.pdf,10
Preventing Breaches of PII.pdf,10
Title 31.pdf,10
DoDI 5505.17 CH 1.pdf,10
DoDI 3115.17 CH 1.pdf,10
AFMAN 36-2664.pdf,10
AFMAN 17-2101.pdf,10
Title 38.pdf,10
Final Report of the Defense Science Board 2016 Summer Study on Constrained Military Operations.pdf,10
Director of Defense Intelligence (Intelligence Strategy Programs and Resources).pdf,10
CFETP 8T000.pdf,10
DoDD 3110.07 CH 1.pdf,10
Title 2.pdf,10
DoDD 4500.56 CH 5.pdf,10
MCTP 3-01A.pdf,10
AFTTP 3-32.10.pdf,10
DoDD 3222.04 CH 2.pdf,10
AFMAN 21-200.pdf,10
DoDD 5105.60.pdf,10
AFI 20-101_63-101.pdf,10
AI 29.pdf,10
DoDFMR V11ACH3.pdf,10
"FMR 16, 1 1 2020 OCR.pdf",10
Cybersecurity Reciprocity.pdf,10
"DEP SEC DEF Memo, DoD Policy for Ordering Retired Military Personnel to Active Duty Pursuant to EO 13814, 3 6 2018 OCR.pdf",10
"JSI 7700.01, 6 19 2015 OCR.pdf",10
DoDI 5400.11 CH 1.pdf,10
MCO 7300.21B.pdf,10
"SEC DEF Memo, DoD Participation in the 2019 National Preparedness Campaign, 4 17 2019 OCR.pdf",10
DFARS 5-20-2021.pdf,10
DoDD 3020.26.pdf,10
Travel Restrictions Publication COVID-19 Travel Restrictions Installation Status Update Nov 25 2020.pdf,10
AR 710-2.pdf,10
AFI 71-101V4.pdf,10
DAFMAN 21-201.pdf,10
Memorandum of Understanding Between the Office of the Director of National Intelligence and the DoD.pdf,10
AFPAM 23-221.pdf,10
DoDD 5105.65.pdf,10
DoDI 5000.56 CH 2.pdf,10
DoDI 3020.39 CH 2.pdf,10
DoD 5220.22-M CH 2.pdf,10
"JSM 5240.01C, 1 2 2018 OCR.pdf",10
DoDI 1035.01 CH 1.pdf,10
DoDD 5105.87 CH 1.pdf,9
CFETP 1C3X1.pdf,9
Implementation of Recommendations for DoD Civilian Cyber Personnel.pdf,9
AFI 36-807.pdf,9
AFI 24-605V5.pdf,9
STP 14-36B15-SM-TG.pdf,9
2010,9
OPNAVINST 5420.117.pdf,9
FY17 Annual Report of Intelligence and Security Training,9
AR 750-1.pdf,9
DoDFMR V2BCH9.pdf,9
AFMAN 11-2AC-130WV3.pdf,9
AFI 36-2650.pdf,9
DoDM 5220.22 Vol 2 CH 1.pdf,9
Report of the Defense Science Board Task Force on the Design and Acquisition of Software for Defense Systems.pdf,9
CIM 4610.5A.pdf,9
Use of Government Aircraft and Air Travel.pdf,9
DoDI 5240.18 CH 3.pdf,9
AFI 51-201.pdf,9
DoD Use of National Geospatial-Intelligence Agency Geospatial-Intelligence Application Store.pdf,9
AFH 23-123V2PT4.pdf,9
DoDD 5105.22.pdf,9
DoDD 8190.01E CH 3.pdf,9
DoDFMR V4CH25.pdf,9
DoDI 5220.22 CH 2.pdf,9
Designation of EAs for Cyber Training and Cyber Test Ranges.pdf,9
CJCSM 3150.25B.pdf,9
FY 2022-2026 Consolidated Budget Guidance Final.pdf,9
Mission Assurance Strategy.pdf,9
AFMAN 14-401.pdf,9
EO 13987.pdf,9
"PM 15-001, 2 9 2015 OCR.pdf",9
AFI 36-2608.pdf,9
Core Data Center Reference Architecture Version 1.0.pdf,9
DoDD 7045.20 CH 2.pdf,9
H.R. 4350 RH 117th.pdf,9
DoDFMR V11BCH12.pdf,9
DoDI 3020.45.pdf,9
DoD 5200.08-R CH 2.pdf,9
HOI 36-16.pdf,9
CJCSI 3270.01C.pdf,9
