idvisit,idvisitor,idaction_name,document,documenttime,documenttime_formatted,clone_name,search_cat,value,searchtime,searchtime_formatted,action,keyw_5,display_title_s,display_org_s,filename,display_source_s,crawler_used_s,doc_type,display_doc_type_s
48563,513BD4AECACFB6FA,14545,AFH 15-101.pdf,2023-03-02T12:20:39.000Z,2023-03-02 12:20:00, gamechanger,GAMECHANGER_gamechanger_combined,afh 15-101,2023-03-02T12:20:35.000Z,2023-03-02 12:20,Search,"severe weather, wind speed, dew point, wind shear, sea breeze, melting layer, freezing precipitation, cloud cover, wind speeds, water droplets",AFH 15-101: METEOROLOGICAL TECHNIQUES,Dept. of the Air Force,AFH 15-101.pdf,Dept. of the Air Force E-Publishing - Unlisted Source,air_force_pubs,AFH,Document
48541,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T11:49:03.000Z,2023-03-02 11:49:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T11:48:52.000Z,2023-03-02 11:48,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48541,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T11:49:02.000Z,2023-03-02 11:49:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T11:48:52.000Z,2023-03-02 11:48,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48533,58751A4353CBF7C0,72,TB MED 530.pdf,2023-03-02T11:46:48.000Z,2023-03-02 11:46:00, gamechanger,GAMECHANGER_gamechanger_combined,pizza,2023-03-02T11:46:44.000Z,2023-03-02 11:46,Search,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
48473,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T09:15:17.000Z,2023-03-02 09:15:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T09:15:06.000Z,2023-03-02 09:15,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48473,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T09:15:16.000Z,2023-03-02 09:15:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T09:15:06.000Z,2023-03-02 09:15,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48467,58751A4353CBF7C0,72,TB MED 530.pdf,2023-03-02T09:13:08.000Z,2023-03-02 09:13:00, gamechanger,GAMECHANGER_gamechanger_combined,pizza,2023-03-02T09:13:04.000Z,2023-03-02 09:13,Search,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
48458,58751A4353CBF7C0,3679,AACP 02_PART5.pdf,2023-03-02T09:09:24.000Z,2023-03-02 09:09:00, gamechanger,,,,,OpenDocument,"acquisition practices, electronic mail, audit authority, sample provisions, sample clauses, requesting authority, nato group, logistic support, contract documents, contract audit",AACP 02_PART5: GUIDELINES AND SAMPLE PROVISIONS FOR ELECTRONIC DATA INTERCHANGE (EDI),Uncategorized,AACP 02_PART5.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
48466,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-03-02T09:12:50.000Z,2023-03-02 09:12:00, gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
48524,58751A4353CBF7C0,3679,AACP 02_PART5.pdf,2023-03-02T11:42:50.000Z,2023-03-02 11:42:00, gamechanger,,,,,OpenDocument,"acquisition practices, electronic mail, audit authority, sample provisions, sample clauses, requesting authority, nato group, logistic support, contract documents, contract audit",AACP 02_PART5: GUIDELINES AND SAMPLE PROVISIONS FOR ELECTRONIC DATA INTERCHANGE (EDI),Uncategorized,AACP 02_PART5.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
