text,paragraph_id
originating component office of the under secretary of defense for acquisition and sustainment,DoDI 5134.04 CH 1.pdf_2
releasability cleared for public release available on the directives division website at http www esd whs mil dd,DoDI 5134.04 CH 1.pdf_4
reissues and cancels do d instruction director of small and disadvantaged business utilization september,DoDI 5134.04 CH 1.pdf_5
approved by ellen m lord under secretary of defense for acquisition technology and logistics change approved by karen saunders chief of staff,DoDI 5134.04 CH 1.pdf_6
purpose this issuance establishes the position of the director of sbp in accordance with the authority in do d directive and pursuant to section k of title united states code u s c updates the responsibilities functions relationships and authorities of the director of sbp,DoDI 5134.04 CH 1.pdf_7
do di december change august table of contents table of contents,DoDI 5134.04 CH 1.pdf_9
section general issuance information applicability policy summary of change section responsibilities director of sbp osd and do d component heads section director of sbp responsibilities and functions relationships authorities glossary g acronyms g definitions references,DoDI 5134.04 CH 1.pdf_10
do di december change august section general issuance information section general issuance information applicability this issuance a applies to osd the military departments the office of the chairman of the joint chiefs of staff and the joint staff the combatant commands the office of the inspector general of the department of defense the defense agencies the do d field activities and all other organizational entities in the do d that award or administer contracts cooperative agreements and grants referred to collectively in this issuance as the do d components b does not apply to matters relating to contracts for goods and services funded solely by non appropriated funds policy the do d will have a director of sbp to be the focal point for all policy practice and procedures relating to the sbp within the do d and performing the duties and functions set forth at section k of title u s c summary of change this change reassigns the office of primary responsibility for this issuance to the under secretary of defense for acquisition and sustainment in accordance with the july deputy secretary of defense memorandum,DoDI 5134.04 CH 1.pdf_12
do di december change august section responsibilities section responsibilities director of sbp under the authority direction and control of the under secretary of defense for acquisition technology and logistics usd at l the director of sbp serves as the principal advisor to the usd at l and the secretary of defense to provide small businesses the maximum practicable opportunity to participate as prime contractors or subcontractors for do d purchases contracts and other agreements for the procurement of products or services in accordance with sections s of title u s c osd and dod component heads the osd and do d component heads will coordinate with the director of sbp on all matters related to the authorities responsibilities and functions assigned in this issuance,DoDI 5134.04 CH 1.pdf_14
do di december change august section director of sbp section director of sbp responsibilities and functions the director of sbp will a implement and execute the functions duties and powers set forth at sections s of title u s c as they relate to the do d section of title u s c relevant sections of the federal acquisition regulation far defense federal acquisition regulation supplement dfars and associated dfars procedures guidance and information and do d instruction do di b manage and oversee the do d sbp in accordance with do di c conduct analyses develop policies provide advice make recommendations and issue guidance on do d plans programs and requirements d develop plans programs procedures goals and objectives and initiate actions and taskings to ensure do d components adhere to do d policies e develop systems and standards consistent with applicable do d information technology policies for the administration of approved policies plans and programs f conduct reviews including compliance reviews of the do d components and major prime contractors and evaluate programs to ensure adherence to approved policies and standards g participate in the planning programming budgeting and execution process and the defense acquisition system h participate in developing and maintaining the far and the dfars by coordinating on all revisions related to small business and providing a do d sbp representative to serve as a member of the far acquisition small business team and the dfars small business committee i keep the usd at l director of defense procurement and acquisition policy do d component directors of sbp and the small business administration informed of significant trends or initiatives as appropriate j promote coordination cooperation and mutual understanding within the do d and between the do d congressional committees other government agencies and the public k serve on boards committees and other groups and represent the secretary of defense and the usd at l outside the do d regarding small business matters l perform other duties as assigned by the secretary of defense or the usd at l relationships in performing his or her assigned responsibilities and functions the director of sbp will,DoDI 5134.04 CH 1.pdf_15
do di december change august section director of sbp a report to the usd at l b coordinate and exchange information with officials of the do d components who are responsible for implementing the do d sbp such as the do d component directors of sbp and other acquisition officials responsible for formulating and approving acquisition strategies c use existing systems facilities and services of the do d and other federal agencies when practicable to avoid duplication and to achieve maximum efficiency and economy of do d resources in support of sbp d use procurement data maintained in mandatory federal data systems for prime contracting and subcontracting performance data authorities the director of sbp is hereby delegated authority to a obtain reports and information consistent with do di as necessary in carrying out assigned responsibilities and functions b communicate directly with the do d component heads as necessary to carry out assigned responsibilities and functions including the transmission of requests for advice and assistance communications to the military departments will be through the secretaries of the military departments their designees or as otherwise provided in law or directed by the secretary of defense in other do d issuances communication to the combatant commanders will be in accordance with paragraph b of do d directive c establish arrangements for the do d to participate in non defense governmental programs for which the director of sbp is assigned primary staff oversight d communicate with other government officials representatives of the legislative branch members of the public and representatives of foreign governments as appropriate in carrying out assigned responsibilities and functions,DoDI 5134.04 CH 1.pdf_16
do di december change august glossary glossary g acronyms dfars defense federal acquisition regulations supplement do di do d instruction,DoDI 5134.04 CH 1.pdf_17
